Protocol,Sector,Source,Year,GHG Emissions (mt CO2e)
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2012,8419.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2013,7269.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2014,7396.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2015,7688.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2016,8045.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2017,6812.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2018,7376.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2019,7643.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2005,18949.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2006,19615.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2007,19957.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2008,19752.00
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2009,19264.00
